name,name_kr,original_symbol,symbol,exchange
Israel 3-Month,이스라엘 3개월,IL3MT,IL3MT,TASE
Israel 6-Month,이스라엘 6개월,IL6MT,IL6MT,TASE
Israel 9-Month,이스라엘 9개월,IL9MT,IL9MT,TASE
Israel 1-Year,이스라엘 1년,IL1YT,IL1YT,TASE
Israel 2-Year,이스라엘 2년,IL2YT,IL2YT,TASE
Israel 3-Year,이스라엘 3년,IL3YT,IL3YT,TASE
Israel 5-Year,이스라엘 5년,IL5YT,IL5YT,TASE
Israel 10-Year,이스라엘 10년,IL10YT,IL10YT,TASE
Israel 30-Year,이스라엘 30년,IL30YT,IL30YT,TASE
Netherlands 1-Month,네덜란드 1개월,NL1MT,NL1MT,AS
Netherlands 3-Month,네덜란드 3개월,NL3MT,NL3MT,AS
Netherlands 6-Month,네덜란드 6개월,NL6MT,NL6MT,AS
Netherlands 2-Year,네덜란드 2년,NL2YT,NL2YT,AS
Netherlands 3-Year,네덜란드 3년,NL3YT,NL3YT,AS
Netherlands 4-Year,네덜란드 4년,NL4YT,NL4YT,AS
Netherlands 5-Year,네덜란드 5년,NL5YT,NL5YT,AS
Netherlands 6-Year,네덜란드 6년,NL6YT,NL6YT,AS
Netherlands 7-Year,네덜란드 7년,NL7YT,NL7YT,AS
Netherlands 8-Year,네덜란드 8년,NL8YT,NL8YT,AS
Netherlands 9-Year,네덜란드 9년,NL9YT,NL9YT,AS
Netherlands 10-Year,네덜란드 10년,NL10YT,NL10YT,AS
Netherlands 15-Year,네덜란드 15년,NL15YT,NL15YT,AS
Netherlands 20-Year,네덜란드 20년,NL20YT,NL20YT,AS
Netherlands 25-Year,네덜란드 25년,NL25YT,NL25YT,AS
Netherlands 30-Year,네덜란드 30년,NL30YT,NL30YT,AS
Turkey 3-Month,터키 3개월,TR3MT,TR3MT,IS
Turkey 6-Month,터키 6개월,TR6MT,TR6MT,IS
Turkey 9-Month,터키 9개월,TR9MT,TR9MT,IS
Turkey 1-Year,터키 1년,TR1YT,TR1YT,IS
Turkey 2-Year,터키 2년,TR2YT,TR2YT,IS
Turkey 3-Year,터키 3년,TR3YT,TR3YT,IS
Turkey 5-Year,터키 5년,TR5YT,TR5YT,IS
Turkey 10-Year,터키 10년,TR10YT,TR10YT,IS
Thailand 1-Year,태국 1년,TH1YT,TH1YT,BK
Thailand 2-Year,태국 2년,TH2YT,TH2YT,BK
Thailand 5-Year,태국 5년,TH5YT,TH5YT,BK
Thailand 7-Year,태국 7년,TH7YT,TH7YT,BK
Thailand 10-Year,태국 10년,TH10YT,TH10YT,BK
Thailand 12-Year,태국 12년,TH12YT,TH12YT,BK
Thailand 14-Year,태국 14년,TH14YT,TH14YT,BK
Thailand 15-Year,태국 15년,TH15YT,TH15YT,BK
Thailand 16-Year,태국 16년,TH16YT,TH16YT,BK
Thailand 20-Year,태국 20년,TH20YT,TH20YT,BK
Russia Overnight,러시아 오버나잇,RUOND,RUOND,MCX
Russia 1-Week,러시아 1주,RU1WT,RU1WT,MCX
Russia 2-Week,러시아 2주,RU2WT,RU2WT,MCX
Russia 1-Month,러시아 1개월,RU1MT,RU1MT,MCX
Russia 2-Month,러시아 2개월,RU2MT,RU2MT,MCX
Russia 3-Month,러시아 3개월,RU3MT,RU3MT,MCX
Russia 6-Month,러시아 6개월,RU6MT,RU6MT,MCX
Russia 1-Year,러시아 1년,RU1YT,RU1YT,MCX
Russia 2-Year,러시아 2년,RU2YT,RU2YT,MCX
Russia 3-Year,러시아 3년,RU3YT,RU3YT,MCX
Russia 5-Year,러시아 5년,RU5YT,RU5YT,MCX
Russia 7-Year,러시아 7년,RU7YT,RU7YT,MCX
Russia 10-Year,러시아 10년,RU10YT,RU10YT,MCX
Russia 15-Year,러시아 15년,RU15YT,RU15YT,MCX
Russia 20-Year,러시아 20년,RU20YT,RU20YT,MCX
Germany 6-Month,독일 6개월,DE6MT,DE6MT,ETR
Germany 9-Month,독일 9개월,DE9MT,DE9MT,ETR
Germany 1-Year,독일 1년,DE1YT,DE1YT,ETR
Germany 2-Year,독일 2년,DE2YT,DE2YT,ETR
Germany 3-Year,독일 3년,DE3YT,DE3YT,ETR
Germany 4-Year,독일 4년,DE4YT,DE4YT,ETR
Germany 5-Year,독일 5년,DE5YT,DE5YT,ETR
Germany 6-Year,독일 6년,DE6YT,DE6YT,ETR
Germany 7-Year,독일 7년,DE7YT,DE7YT,ETR
Germany 8-Year,독일 8년,DE8YT,DE8YT,ETR
Germany 9-Year,독일 9년,DE9YT,DE9YT,ETR
Germany 10-Year,독일 10년,DE10YT,DE10YT,ETR
Germany 15-Year,독일 15년,DE15YT,DE15YT,ETR
Germany 20-Year,독일 20년,DE20YT,DE20YT,ETR
Germany 25-Year,독일 25년,DE25YT,DE25YT,ETR
Germany 30-Year,독일 30년,DE30YT,DE30YT,ETR
Portugal 6-Month,포르투갈 6개월,PT6MT,PT6MT,ELI
Portugal 3-Month,포르투갈 3개월,PT3MT,PT3MT,ELI
Portugal 1-Year,포르투갈 1년,PT1YT,PT1YT,ELI
Portugal 2-Year,포르투갈 2년,PT2YT,PT2YT,ELI
Portugal 3-Year,포르투갈 3년,PT3YT,PT3YT,ELI
Portugal 4-Year,포르투갈 4년,PT4YT,PT4YT,ELI
Portugal 5-Year,포르투갈 5년,PT5YT,PT5YT,ELI
Portugal 6-Year,포르투갈 6년,PT6YT,PT6YT,ELI
Portugal 7-Year,포르투갈 7년,PT7YT,PT7YT,ELI
Portugal 8-Year,포르투갈 8년,PT8YT,PT8YT,ELI
Portugal 9-Year,포르투갈 9년,PT9YT,PT9YT,ELI
Portugal 10-Year,포르투갈 10년,PT10YT,PT10YT,ELI
Portugal 15-Year,포르투갈 15년,PT15YT,PT15YT,ELI
Portugal 20-Year,포르투갈 20년,PT20YT,PT20YT,ELI
Portugal 30-Year,포르투갈 30년,PT30YT,PT30YT,ELI
Spain 1-Month,스페인 1개월,ES1MT,ES1MT,BME
Spain 3-Month,스페인 3개월,ES3MT,ES3MT,BME
Spain 6-Month,스페인 6개월,ES6MT,ES6MT,BME
Spain 9-Month,스페인 9개월,ES9MT,ES9MT,BME
Spain 1-Year,스페인 1년,ES1YT,ES1YT,BME
Spain 2-Year,스페인 2년,ES2YT,ES2YT,BME
Spain 3-Year,스페인 3년,ES3YT,ES3YT,BME
Spain 4-Year,스페인 4년,ES4YT,ES4YT,BME
Spain 5-Year,스페인 5년,ES5YT,ES5YT,BME
Spain 6-Year,스페인 6년,ES6YT,ES6YT,BME
Spain 7-Year,스페인 7년,ES7YT,ES7YT,BME
Spain 8-Year,스페인 8년,ES8YT,ES8YT,BME
Spain 9-Year,스페인 9년,ES9YT,ES9YT,BME
Spain 10-Year,스페인 10년,ES10YT,ES10YT,BME
Spain 15-Year,스페인 15년,ES15YT,ES15YT,BME
Spain 20-Year,스페인 20년,ES20YT,ES20YT,BME
Spain 25-Year,스페인 25년,ES25YT,ES25YT,BME
Spain 30-Year,스페인 30년,ES30YT,ES30YT,BME
Switzerland Overnight,스위스 오버나잇,CHOND,CHOND,SIX
Switzerland 1-Week,스위스 1주,CH1WT,CH1WT,SIX
Switzerland 1-Month,스위스 1개월,CH1MT,CH1MT,SIX
Switzerland 2-Month,스위스 2개월,CH2MT,CH2MT,SIX
Switzerland 3-Month,스위스 3개월,CH3MT,CH3MT,SIX
Switzerland 6-Month,스위스 6개월,CH6MT,CH6MT,SIX
Switzerland 1-Year,스위스 1년,CH1YT,CH1YT,SIX
Switzerland 2-Year,스위스 2년,CH2YT,CH2YT,SIX
Switzerland 3-Year,스위스 3년,CH3YT,CH3YT,SIX
Switzerland 4-Year,스위스 4년,CH4YT,CH4YT,SIX
Switzerland 5-Year,스위스 5년,CH5YT,CH5YT,SIX
Switzerland 6-Year,스위스 6년,CH6YT,CH6YT,SIX
Switzerland 7-Year,스위스 7년,CH7YT,CH7YT,SIX
Switzerland 8-Year,스위스 8년,CH8YT,CH8YT,SIX
Switzerland 9-Year,스위스 9년,CH9YT,CH9YT,SIX
Switzerland 10-Year,스위스 10년,CH10YT,CH10YT,SIX
Switzerland 15-Year,스위스 15년,CH15YT,CH15YT,SIX
Switzerland 20-Year,스위스 20년,CH20YT,CH20YT,SIX
Switzerland 30-Year,스위스 30년,CH30YT,CH30YT,SIX
Indonesia 10-Year,인도네시아 10년,ID10YT,ID10YT,JK
Indonesia 15-Year,인도네시아 15년,ID15YT,ID15YT,JK
Indonesia 20-Year,인도네시아 20년,ID20YT,ID20YT,JK
Indonesia 25-Year,인도네시아 25년,ID25YT,ID25YT,JK
Indonesia 30-Year,인도네시아 30년,ID30YT,ID30YT,JK
India 3-Month,인도 3개월,IN3MT,IN3MT,NS
India 6-Month,인도 6개월,IN6MT,IN6MT,NS
India 1-Year,인도 1년,IN1YT,IN1YT,NS
India 2-Year,인도 2년,IN2YT,IN2YT,NS
India 3-Year,인도 3년,IN3YT,IN3YT,NS
India 4-Year,인도 4년,IN4YT,IN4YT,NS
India 5-Year,인도 5년,IN5YT,IN5YT,NS
India 6-Year,인도 6년,IN6YT,IN6YT,NS
India 7-Year,인도 7년,IN7YT,IN7YT,NS
India 8-Year,인도 8년,IN8YT,IN8YT,NS
India 9-Year,인도 9년,IN9YT,IN9YT,NS
India 10-Year,인도 10년,IN10YT,IN10YT,NS
India 11-Year,인도 11년,IN11YT,IN11YT,NS
India 12-Year,인도 12년,IN12YT,IN12YT,NS
India 13-Year,인도 13년,IN13YT,IN13YT,NS
India 14-Year,인도 14년,IN14YT,IN14YT,NS
India 15-Year,인도 15년,IN15YT,IN15YT,NS
India 19-Year,인도 19년,IN19YT,IN19YT,NS
India 24-Year,인도 24년,IN24YT,IN24YT,NS
India 30-Year,인도 30년,IN30YT,IN30YT,NS
Canada 1-Month,캐나다 1개월,CA1MT,CA1MT,TSX
Canada 2-Month,캐나다 2개월,CA2MT,CA2MT,TSX
Canada 3-Month,캐나다 3개월,CA3MT,CA3MT,TSX
Canada 6-Month,캐나다 6개월,CA6MT,CA6MT,TSX
Canada 1-Year,캐나다 1년,CA1YT,CA1YT,TSX
Canada 2-Year,캐나다 2년,CA2YT,CA2YT,TSX
Canada 3-Year,캐나다 3년,CA3YT,CA3YT,TSX
Canada 4-Year,캐나다 4년,CA4YT,CA4YT,TSX
Canada 5-Year,캐나다 5년,CA5YT,CA5YT,TSX
Canada 7-Year,캐나다 7년,CA7YT,CA7YT,TSX
Canada 10-Year,캐나다 10년,CA10YT,CA10YT,TSX
Canada 20-Year,캐나다 20년,CA20YT,CA20YT,TSX
Canada 30-Year,캐나다 30년,CA30YT,CA30YT,TSX
Australia 1-Year,호주 1년,AU1YT,AU1YT,ASX
Australia 2-Year,호주 2년,AU2YT,AU2YT,ASX
Australia 3-Year,호주 3년,AU3YT,AU3YT,ASX
Australia 4-Year,호주 4년,AU4YT,AU4YT,ASX
Australia 5-Year,호주 5년,AU5YT,AU5YT,ASX
Australia 6-Year,호주 6년,AU6YT,AU6YT,ASX
Australia 7-Year,호주 7년,AU7YT,AU7YT,ASX
Australia 8-Year,호주 8년,AU8YT,AU8YT,ASX
Australia 9-Year,호주 9년,AU9YT,AU9YT,ASX
Australia 10-Year,호주 10년,AU10YT,AU10YT,ASX
Australia 12-Year,호주 12년,AU12YT,AU12YT,ASX
Australia 15-Year,호주 15년,AU15YT,AU15YT,ASX
Australia 20-Year,호주 20년,AU20YT,AU20YT,ASX
Australia 30-Year,호주 30년,AU30YT,AU30YT,ASX
Brazil 3-Month,브라질 3개월,BR3MT,BR3MT,BVMF
Brazil 6-Month,브라질 6개월,BR6MT,BR6MT,BVMF
Brazil 9-Month,브라질 9개월,BR9MT,BR9MT,BVMF
Brazil 1-Year,브라질 1년,BR1YT,BR1YT,BVMF
Brazil 2-Year,브라질 2년,BR2YT,BR2YT,BVMF
Brazil 3-Year,브라질 3년,BR3YT,BR3YT,BVMF
Brazil 5-Year,브라질 5년,BR5YT,BR5YT,BVMF
Brazil 8-Year,브라질 8년,BR8YT,BR8YT,BVMF
Brazil 10-Year,브라질 10년,BR10YT,BR10YT,BVMF
United Kingdom 1-Month,영국 1개월,GB1MT,GB1MT,LON
United Kingdom 3-Month,영국 3개월,GB3MT,GB3MT,LON
United Kingdom 6-Month,영국 6개월,GB6MT,GB6MT,LON
United Kingdom 1-Year,영국 1년,GB1YT,GB1YT,LON
United Kingdom 2-Year,영국 2년,GB2YT,GB2YT,LON
United Kingdom 3-Year,영국 3년,GB3YT,GB3YT,LON
United Kingdom 4-Year,영국 4년,GB4YT,GB4YT,LON
United Kingdom 5-Year,영국 5년,GB5YT,GB5YT,LON
United Kingdom 6-Year,영국 6년,GB6YT,GB6YT,LON
United Kingdom 7-Year,영국 7년,GB7YT,GB7YT,LON
United Kingdom 8-Year,영국 8년,GB8YT,GB8YT,LON
United Kingdom 9-Year,영국 9년,GB9YT,GB9YT,LON
United Kingdom 10-Year,영국 10년,GB10YT,GB10YT,LON
United Kingdom 15-Year,영국 15년,GB15YT,GB15YT,LON
United Kingdom 12-Year,영국 12년,GB12YT,GB12YT,LON
United Kingdom 20-Year,영국 20년,GB20YT,GB20YT,LON
United Kingdom 25-Year,영국 25년,GB25YT,GB25YT,LON
United Kingdom 30-Year,영국 30년,GB30YT,GB30YT,LON
United Kingdom 40-Year,영국 40년,GB40YT,GB40YT,LON
United Kingdom 50-Year,영국 50년,GB50YT,GB50YT,LON
Italy 1-Month,이탈리아 1개월,IT1MT,IT1MT,BIT
Italy 3-Month,이탈리아 3개월,IT3MT,IT3MT,BIT
Italy 6-Month,이탈리아 6개월,IT6MT,IT6MT,BIT
Italy 9-Month,이탈리아 9개월,IT9MT,IT9MT,BIT
Italy 1-Year,이태리 1년,IT1YT,IT1YT,BIT
Italy 2-Year,이탈리아 2년,IT2YT,IT2YT,BIT
Italy 3-Year,이탈리아 3년,IT3YT,IT3YT,BIT
Italy 4-Year,이탈리아 4년,IT4YT,IT4YT,BIT
Italy 5-Year,이탈리아 5년,IT5YT,IT5YT,BIT
Italy 6-Year,이탈리아 6년,IT6YT,IT6YT,BIT
Italy 7-Year,이탈리아 7년,IT7YT,IT7YT,BIT
Italy 8-Year,이탈리아 8년,IT8YT,IT8YT,BIT
Italy 9-Year,이탈리아 9년,IT9YT,IT9YT,BIT
Italy 10-Year,이탈리아 10년,IT10YT,IT10YT,BIT
Italy 15-Year,이탈리아 15년,IT15YT,IT15YT,BIT
Italy 20-Year,이탈리아 20년,IT20YT,IT20YT,BIT
Italy 30-Year,이탈리아 30년,IT30YT,IT30YT,BIT
